Key,English,Spanish
UI_SUMMON_PARTY_USE,You should be close for the summon to work. Make sure you are not in an Event arena. Do you want to be teleported?,Debes estar cerca para que la convocatoria funcione. Asegúrate de no estar en un área de evento. ¿Quieres ser teletransportado?
UI_SUMMON_BUFF_ICON,You can go to the Party leader once you click double.,Irás a la ubicación del líder de Party cuando hagas doble clic.
UI_CHANGE_SEX_TITLE,Change Sex,Cambiar de Sexo
UI_CHANGE_SEX_FACE,Change Face,Cambiar Cara
UI_ITEM_TRANSY_TITLE,Transy for Item,Transy para Objeto
UI_ITEM_TRANSY_SEX,Change Sex of Item,Cambiar Sexo de Objeto
UI_ITEM_TRANSY_PUT,Please input an item which you want to change.,Por favor pon el objeto que quieres cambiar.
UI_ITEM_TRANSY_PUT1,Please input an item on the left column.,Por favor pon un objeto en la columna izquierda.
UI_CHANGE_NAME_TITLE,Change Name,Cambiar Nombre
UI_CHANGE_NAME_INPUT,Enter your new name,Introduce tu nuevo nombre
UI_CHANGE_NAME_PET_TITLE,Change Pet Name,Cambiar Nombre de Mascota
UI_CHANGE_NAME_PET_INPUT,Leave empty to reset to the default name,Déjalo vacío para resetear al nombre por defecto
UI_CHANGE_NAME_PET_LABEL,Pet Name:,Nombre de Mascota:
UI_NAVIGATOR_MARK,Mark:,Marcador:
UI_MAP_MARK_ADD,Add Mark,Añadir Marcador
UI_MAP_MARK_DELETE,Delete,Delete
UI_MAP_MARK_DELETE_ALL,Delete All,Borrar Todo
UI_MAP_MARK_PUT_CHAT,Put it in the chat,Ponlo en el chat
UI_MAP_MARK_CHANGE_NAME,Name Change,Cambio de Nombre
UI_MAP_MARK,Position,Posición
UI_MAP_MARK_NAME_TITLE,Position Name Change,Cambiar Posición de Nombre
UI_MAP_MARK_NAME_INPUT,Please put new name,Por favor introduce el nuevo nombre
UI_TOOLTIP_EQUIPPED,[ Equipped ],[ Equipado ]
UI_TOOLTIP_ACTIVESELF,Also Casted on You,Also Casted on You
UI_TOOLTIP_ACTIVETARGET,Also Casted on Target,Also Casted on Target
UI_TOOLTIP_CHANGEIFHAS,If you have %s,If you have %s
UI_TOOLTIP_CHANGEIFHAS_TARGET,If the target has %s,If the target has %s
UI_TOOLTIP_GAINSTACKS,%s Stacks Gained: %d,%s Stacks Gained: %d
UI_TOOLTIP_GAINSTACKS_PVP,%s Stacks Gained: %d / %d (PvP),%s Stacks Gained: %d / %d (PvP)
UI_ITEM_LINK_TITLE,Linked Item Info.,Info de Objeto Enlazado
UI_BEAUTY_SHOP_COUPON_TITLE,Use Coupon,Usar Cupón
UI_BEAUTY_SHOP_COUPON_MSG,You have a Free Coupon. Do you want to use it now?,Tienes un Cupón Gratuito. ¿Quieres usarlo?
UI_BEAUTY_SHOP_COUPON,Using the Free Coupon.,Usando el Cupón Gratuito
UI_GUILD_MEMBER_TIP,#b%s#nb\nContribution: %s\nPenya Contribution: %s\nNumber of times surrendered: %d,#b%s#nb\nContribución: %s\nContribución de Penya: %s\nNúmero de rendiciones: %d
UI_REMOVE_ELEM_TITLE,Apply Attribute,Aplicar Atributo
UI_REMOVE_ELEM_MSG,You can only trade or unequip the item after removing its elemental attributes. Will you remove them?,Solo puedes comerciar o desequipar el objeto después de eliminar el atributo elemental. ¿Eliminas el atributo?
UI_HOME_LOGIN_ENTER_TIP,Enter Account ID,Introduce el Usuario
UI_HOME_PASSWORD_TIP,Enter Password,Introduce la Contraseña
UI_CHAT_NORMAL_TIP,Send normal messages.,Envía mensajes normales.
UI_CHAT_WHISPER_TIP,Send whispering messages.,Envía mensajes susurrando.
UI_CHAT_SHOUT_TIP,Send shouting messages.,Envía mensajes gritando.
UI_CHAT_PARTY_TIP,Send messages to party members.,Envía mensajes a los miembros de party.
UI_CHAT_GUILD_TIP,Sending messages to guild members.,Envía mensajes a los miembros de guild.
UI_CHAT_SYSTEM_TIP,Open System Message Window,Abre la Ventana de Mensajes del Sistema
UI_CHAT_FILTER_TIP,Filter function which allows you to filter the chatting.,La función de filtro te permite filtrar el chat.
UI_MESSENGER_MEMO_TIP,Able to check received messages when you are disconnected.,Puedes comprobar mensajes recibidos estando desconectado.
UI_GUILD_WAR_DECLARE_TIP,Request a Guild Duel,Solicitar un Duelo de Guilds
UI_GUILD_WAR_PEACE_TIP,Propose a truce to the senseless violence and fighting.,Proponer una tregua ante la violencia y lucha sin sentido.
UI_GUILDBANK_SUPPORT_TIP,Make a Contribution to your Guild.,Contribuir a la Guild.
UI_GUILDBANK_CLOAK_TIP,Create a Guild Cloak with the logo you selected. (Guild Level 4),Crear una Capa de Guild con el Logo seleccionado. (Nivel de Guild 4)
UI_GUILDBANK_LOG_TIP,Open Guild Bank Log window.,Abrir la ventana de Registro del Banco de Guild.
UI_APP_DEBUG_TIP,Debug Window,Ventana de Debug
UI_APP_INFO_PANG_TIP,Summon Info-Pang.,Convocar Info-Pang.
UI_APP_FAQ_TIP,FAQ,FAQ
UI_APP_TIPS_TIP,Tips,Consejos
UI_APP_HELP_TIP,Help,Ayuda
UI_APP_GUILD_TIP,Manage your Guild.,Gestiona tu Guild.
UI_APP_PARTY_TIP,Manage your Party.,Gestiona tu Party.
UI_APP_COUPLE_TIP,Manage your Couple.,Manage your Couple.
UI_APP_MESSENGER_TIP,Manage your Friends List,Gestiona tu Lista de Amigos.
UI_APP_ITEMDURATION_TIP,Displays the duration of Cash Shop items.,Muestra la Duración de Objetos Premium.
UI_APP_CASHSHOP_TIP,Opens the Premium Item Shop.,Abre la Tienda de Objetos Premium.
UI_APP_QUEST_TIP,Shows the Quest Diary.,Abre el Diario de Misiones.
UI_APP_PRIVATESHOP_TIP,Allows you to open a Private Shop.,Te permite abrir una Tienda Privada.
UI_APP_SKILL_TIP,Displays the Skills Menu.,Abre el Menú de Habilidades.
UI_APP_INVENTORY_TIP,Opens your inventory.,Abre tu inventario.
UI_APP_CHARINFO_TIP,Shows detailed information about your character.,Muestra información detallada de tu Personaje.
UI_APP_MOTION_TIP,Use emoticons and motions to express yourself.,Usa emoticonos y gestos para expresarte.
UI_APP_STATUS_TIP,Character Status,Estado del Personaje
UI_APP_CHAT_TIP,Open a chat window.,Abre una ventana de chat.
UI_APP_QUIT_TIP,Exit Program,Salir del Programa
UI_APP_SUPPORT_TIP,Open the Customer Support.,Abrir la Atención al Cliente.
UI_APP_PRIVACY_TIP,Open the privacy tab.,Open the privacy tab.
UI_APP_LOGOUT_TIP,Logout,Desconectar
UI_APP_OPTION_TIP,Option,Opciones
UI_APP_MAP_TIP,A Map of the World,Un Mapa del Mundo
UI_APP_NAVIGATOR_TIP,A mini-map to help you find your way.,Un mini-mapa que te ayudará a encontrar tu camino.
UI_APP_NOTICE_TIP,Notice,Anuncio
UI_OPTION_OLD_KEYBOARD_MODE,Basic Keyboard Mode,Modo Básico del Teclado
UI_GUILDCOMBAT_OFFER_TITLE,Apply for Guild Siege,Inscribirte a la Batalla de Guilds
UI_GUILDCOMBAT_OFFER_TOTALAPPLICATION,Total Application Fee,Precio Total de Inscripción
UI_GUILDCOMBAT_OFFER_TOTALAPPLICATION_TIP,"Of the total application fees paid by the 10 highest paying Guilds, 35% is paid to the winning Guild.","Del total de las tarifas de solicitud pagadas por los 10 gremios, el 35% se paga al gremio ganador."
UI_GUILDCOMBAT_OFFER_CURRENTAPPLICATION,Current Application Fee,Tarifa de Inscripción Actual
UI_GUILDCOMBAT_OFFER_CURRENTAPPLICATION_TIP,Select a blank space and input the application fee,Selecciona un espacio en blanco e introduce el precio de inscripción
UI_GUILDCOMBAT_OFFER_PRIZEDETAIL,Prize Details,Detalles de Premios
UI_GUILDCOMBAT_OFFER_PRESENT,1 Win: Dragon Cloak of the Initiate\n2 Wins Straight: Dragon Cloak of the Adept\n3 Wins Straight: Dragon Cloak of the Master\n4 Wins Straight: Dragon Cloak of the Hero,1 Victoria: Capa Dragón del Iniciado\n2 Victorias Seguidas: Capa Dragón del Adepto\n3 Victorias Seguidas: Capa Dragón del Maestro\n4 Victorias Seguidas: Capa Dragón del Héroe
UI_GUILDCOMBAT_OFFER_CONFIRM,You have paid %d penya. Do you want to pay additional %d penya?,Has pagado %d penya. ¿Quieres pagar %d penya adicional?
UI_GUILDCOMBAT_OFFER_ACCEPT_TIP,Apply for Guild Siege.,Inscribirte a la Batalla de Guilds.
UI_GUILDCOMBAT_OFFER_PRESENT_TIP,"For prize details, please ask the Guild Manager, Donaris.",Para saber sobre los premios consulta a la Mánager de Guilds Donaris.
UI_GUILDCOMBAT_STATE_TITLE,Present Guild Siege Application Requirements,Requisitos para la Inscripción de la Batalla de Guilds.
UI_GUILDCOMBAT_STATE_TIMELEFT,Time Left,Tiempo Restante
UI_GUILDCOMBAT_STATE_TIMELEFT_TIP,Time left until next Guild Siege,Tiempo restante para la próxima Batalla de Guilds.
UI_GUILDCOMBAT_STATE_TOTALBID,Total Bid:,Puja Total:
UI_GUILDCOMBAT_STATE_TOTALBID_TIP,"From the combined bids paid by the 10 highest paying Guilds, 35% is paid to the winning Guild.","De las ofertas combinadas pagadas por los 10 gremios, el 35% se paga al gremio ganador."
UI_GUILDCOMBAT_STATE_BIDRANKING,Bid Ranking,Clasificación de Pujas
UI_GUILDCOMBAT_STATE_BIDRANKING_TIP,Your Guild cannot join a Guild Siege if your Guild Bid is ranked below 10th place. Please try again.,Su gremio no puede unirse a un asedio de gremio si su oferta de gremio está clasificada por debajo del décimo lugar. Inténtalo de nuevo.
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM,Current Minimum Bid,Puja Mínima Actual
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM_TIP,Current Guild Bid:,Puja de Guild Actual:
UI_GUILDCOMBAT_STATE_APPLY,Apply,Aplicar
UI_GUILDCOMBAT_STATE_APPLY_TIP,Show Guild Siege Application Menu.,Menú de Inscripciones de la Batalla de Guilds.
UI_GUILDCOMBAT_STATE_REFRESH,Refresh,Actualizar
UI_GUILDCOMBAT_STATE_REFRESH_TIP,Review present Guild Siege Application Requirements.,Revisa los Requisitos para la Inscripción de la actual Batalla de Guilds.
UI_GUILDCOMBAT_STATE_LIST_TIP,The 10 Guilds that bid the highest amount of penya can join the Guild Siege.,Los 10 Gremios que oferten la mayor cantidad de penya podrán unirse al Asedio de Gremios.
UI_GUILDCOMBAT_CANCEL_TITLE,Guild Siege - Cancel Application,Batalla de Guilds - Cancelar Inscripción
UI_GUILDCOMBAT_CANCEL_MSG,Do you want to withdraw from the Guild Siege?,¿Quieres retirarte de la Batalla de Guilds?
UI_GUILDCOMBAT_SELECT_TITLE,Set Entry List for Guild Siege,Lista de Entrada a la Batalla de Guilds
UI_GUILDCOMBAT_SELECT_CONNECTED,Connected Guild Members,Miembros de Guild Conectados
UI_GUILDCOMBAT_SELECT_ENTRANT,Entrant List,Lista de Participantes
UI_GUILDCOMBAT_SELECT_RIGHT_TIP,Add a connected Guild Member to the entrant list.,Añade a un Miembro de la Guild a la lista de participantes.
UI_GUILDCOMBAT_SELECT_LEFT_TIP,Delete a Guild Member from the entrant list.,Elimina a un Miembro de la Guild de la lista de participantes.
UI_GUILDCOMBAT_SELECT_UP_TIP,Arrange the selected Guild member to the upper side.,Coloca al Miembro de la Guild seleccionado en el lado superior.
UI_GUILDCOMBAT_SELECT_DOWN_TIP,Arrange the selected Guild member to the lower side.,Coloca al Miembro de la Guild seleccionado en el lado inferior.
UI_GUILDCOMBAT_SELECT_COMPLETE,Complete,Completado
UI_GUILDCOMBAT_SELECT_COMPLETE_TIP,Complete the entry list.,Lista de participantes completa.
UI_GUILDCOMBAT_SELECT_DEFENDER,Defender,Defensor
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP,Selecting the defender,Seleccionando el defensor
UI_GUILDCOMBAT_SELECT_REMAKE,Remake,Reiniciar
UI_GUILDCOMBAT_SELECT_REMAKE_TIP,Remake the entry list.,Reiniciar la lista de participantes.
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP2,Opponents will get bonus point when your Guild Defender is killed.,Los oponentes consiguieran un punto extra cuando maten a tu Defensor.
UI_GUILDCOMBAT_SELECT_INFO,Register your team. Starting %d members (Maximum %d),Registra tu equipo. %d miembros iniciales (Máximo %d)
UI_GUILDCOMBAT_SELECT_ENTRANT_TIP,5 selected members will join the Guild Siege first. Please make an entrant list.,5 miembros empezarán en la Batalla de Guilds. Por favor haz la lista de participantes.
UI_GUILDCOMBAT_SELECT_REMAKE_MAKEUP,Would like to organize line up for guild siege again?,¿Te gustaría organizar la alineación para la batalla de guilds de nuevo?
UI_GUILDCOMBAT_TELE_TITLE,Guild Siege Introduction,Introducción de la Batalla de Guilds
UI_GUILDCOMBAT_TELE_MSG,Entrance has started. Would you like to teleport to the Guild Siege arena?,La entrada ha empezado. ¿Quieres Teletransporte a la arena de Batallas de Guilds?
UI_GUILDCOMBAT_JOIN_TITLE,Entering Guild Siege Arena,Entrando a la Arena de Batallas de Guilds
UI_GUILDCOMBAT_JOIN_MSG,Do you join the Guild Siege?,¿Te unes a la Batalla de Guilds?
UI_NETWORK_ERROR_TITLE,Network Error,Error de Conexión
UI_NETWORK_ERROR_MSG,"A network error happened, please check your connection and login again.","Un error de conexión ha ocurrido, por favor comprueba tu conexión e inténtalo de nuevo."
UI_GUILDCOMBAT_JOINWAR_TITLE,Resurrection Location,Lugar de Resurrección
UI_GUILDCOMBAT_JOINWAR_1_TIP,You have entered the 1st zone.,Has entrado a la 1ª zona.
UI_GUILDCOMBAT_JOINWAR_2_TIP,You have entered the 2nd zone.,Has entrado a la 2ª zona.
UI_GUILDCOMBAT_JOINWAR_3_TIP,You have entered the 3rd zone.,Has entrado a la 3ª zona.
UI_GUILDCOMBAT_JOINWAR_4_TIP,You have entered the 4th zone.,Has entrado a la 4ª zona.
UI_GUILDCOMBAT_JOINWAR_5_TIP,You have entered the 5th zone.,You have entered the 5th zone.
UI_GUILDCOMBAT_JOINWAR_6_TIP,You have entered the 6th zone.,You have entered the 6th zone.
UI_GUILDCOMBAT_JOINWAR_7_TIP,You have entered the 7th zone.,You have entered the 7th zone.
UI_GUILDCOMBAT_JOINWAR_8_TIP,You have entered the 8th zone.,You have entered the 8th zone.
UI_GUILDCOMBAT_JOINWAR_SELECT,Select the zone you wish to enter.,Seleccione la zona a la que deseas entrar.
UI_GUILDCOMBAT_JOINWAR_MSG,"In %d seconds, you will enter zone %s.","Después de %d, entras a %s."
UI_GUILDCOMBAT_JOINWAR_RANDOM,Random,Aleatorio
UI_CHAT_ADMIN,[Admin] %s,[Admin] %s
UI_GUILDCOMBAT_RATE,Current rank:,Rango Actual:
UI_GUILDCOMBAT_PERSON_RATE,Individual rank:,Rango Individual:
UI_TOOLTIP_EXPBOX,#b%s's exp box#nb\nThe time left: %s,#bCaja de Exp de %s#nb\nTiempo Restante: %s
UI_GUILDCOMBAT_JOIN_READY,Gain entrance when one of your guild mates dies.,Podrás entrar cuando uno de tus compañeros de Guild muera.
UI_GUILDCOMBAT_JOIN_READY2,Be ready!,¡Prepárate!
UI_GUILDCOMBAT_LOG_REALTIME,[%s]%s [%s] has killed [%s]%s [%s] and has gained %d points.,[%s]%s [%s] ha matado a [%s]%s [%s] y ha ganado %d puntos.
UI_GUILDCOMBAT_LOG_MASTER,Guild Master,Líder de Guild
UI_GUILDCOMBAT_LOG_DEFENDER,Defender,Defensor
UI_GUILDCOMBAT_RESULT_TITLE,Guild & Member Ranking,Clasificación de Guilds y Miembros
UI_GUILDCOMBAT_RESULT_GUILD,Guild Ranking,Clasificación de Guilds
UI_GUILDCOMBAT_RESULT_MEMBER,Member Ranking,Clasificación Individual
UI_GUILDCOMBAT_RESULT_RANK,United Rank,Rango Unido
UI_GUILDCOMBAT_RESULT_LOG,Battle Log,Registro de Batalla
UI_GUILDCOMBAT_LOG_GUILD,[%s],[%s]
UI_GUILDCOMBAT_LOG1,Basic Point +2,+2 Puntos Básicos
UI_GUILDCOMBAT_LOG2,Guild Master Bonus +1,+1 Punto de Líder
UI_GUILDCOMBAT_LOG3,Defender Bonus +1,+1 Punto de Defensor
UI_GUILDCOMBAT_LOG4,Kill bonus +1,+1 Punto de Asesinato
UI_GUILDCOMBAT_LOG5,Resurrecting Bonus +1,+1 Punto de Resurrección
UI_GUILDCOMBAT_LOG6,Killing streak Bonus +%d,+%d Puntos de racha de Asesinatos
UI_GUILDCOMBAT_LOG_POINT,(%d grade),(grado %d)
UI_GUILDCOMBAT_LOG_ATTACK,Attack,Atacar
UI_GUILDBANK_GUILDCOMBAT_CLOAK_TIP,Creating Dragon Cloak (The condition: For the guild which wins the guild war).,Crear Capa Dragón (Condición: Para la guild que ha ganado la batalla de guilds).
UI_GUILDBANK_GUILDCOMBAT_CREATE_CLOAK,"It takes 10,000 penya to create a Dragon Cloak. Would you like to create it?",Crear una Capa Dragón cuesta 1000 Penya. ¿Quieres crearla?
UI_GUILDCOMBAT_RANKING_TITLE,Guild Member Ranking,Clasificación de Miembros de Guild
UI_GUILDCOMBAT_RANKING_RANK,Rank,Rango
UI_GUILDCOMBAT_RANKING_POINT,Grade,Grado
UI_WORLD_DEVICEMOTION_TIP,Motion,Gestos
UI_WORLD_TURBO_TIP,Fuel,Combustible
UI_NAVIGATOR_SHIP,Ship,Barco
UI_OPTION_TOON_STYLE,Outline,Contorno
UI_OPTION_RIM_OUTLINE,Rim Outlines,Linea Contornos
UI_APP_WIKI_TIP,Get help from Wiki,Obtén ayuda de la Wiki
UI_ROSHAMBO_OPEN_CONFIRM,I challenge you to a game of Rock-Paper-Scissors!,¡Te reto a una partida de Piedra-Papel-Tijeras!
UI_ROSHAMBO_TITLE,Rock-Paper-Scissors,Piedra-Papel-Tijeras
UI_ROSHAMBO_VS,VS,VS
UI_ROSHAMBO_SCISSOR,Scissors,Tijeras
UI_ROSHAMBO_ROCK,Rock,Piedra
UI_ROSHAMBO_PAPER,Paper,Papel
UI_ROSHAMBO_WINNINGCOUNT,%d win(s),%d victoria(s)
UI_ROSHAMBO_DEFEAT,You Lose!,¡Has Perdido!
UI_ROSHAMBO_WIN_TITLE,You Win!,¡Victoria!
UI_ROSHAMBO_WIN_END,End,Fin
UI_ROSHAMBO_WIN_NEXT,Next,Siguiente
UI_ROSHAMBO_WIN_MSG,Press END if you want to claim your current prize and stop playing or press NEXT to continue playing for more prizes -,Pulsa FIN si quieres reclamar el premio actual y parar de jugar o pulsa SIGUIENTE para continuar jugando por más premios.
UI_ROSHAMBO_WIN_MSG2,Please Note: You will not receive your current prize if you choose to continue playing.,Lee Atentamente: No recibirás tu actual premio si eliges continuar jugando.
UI_ROSHAMBO_WIN_MSG3,"Congratulations, you won %d time(s)! You receive %s x%d.","¡Felicidades, has ganado %d veces! Recibes %s x%d."
UI_EXCHANGE_COUNT_TITLE,Input item quantity,Cantidad de objetos de entrada
UI_EXCHANGE_COUNT_MSG,How many?,¿Cuantos?
UI_EXCHANGE_COUNT_LABEL,Number:,Número:
UI_TOOLTIP_PET_REAR,[Raised Pet],[Mascota Criada]
UI_TOOLTIP_PET_PICKUP,[Pick-Up Pet],[Mascota Recogedora]
UI_PET_GRADE_0,Egg,Huevo
UI_PET_GRADE_1,F Tier,Nivel F
UI_PET_GRADE_2,E Tier,Nivel E
UI_PET_GRADE_3,D Tier,Nivel D
UI_PET_GRADE_4,C Tier,Nivel C
UI_PET_GRADE_5,B Tier,Nivel B
UI_PET_GRADE_6,A Tier,Nivel A
UI_PET_GRADE_7,S Tier,Nivel S
UI_PET_EXP_MAX,Exp: 99.99%,Exp: 99.99%
UI_PET_EXP,Exp: %.2f%%,Exp: %.2f%%
UI_TOOLTIP_ABILITY,Bonus,Bonus
UI_PET_HP,Energy: %d / %d,HP: %d / %d
UI_PET_LEVEL,Lv%d,Lv%d
UI_PET_DEAD,(DEAD),(Muerto)
UI_PET_REROLL_TIER,Scroll-rerolled tier:,Scroll-rerolled tier:
UI_TARGET_CLEAR,Clear the target,Quitar el objetivo
UI_OPTION_TAB_UI,Interface,Interfaz
UI_OPTION_AUTO_ATTACK,Auto Attack,Ataque Automático
UI_OPTION_FIXED_CAMERA,Fixed Camera,Cámara Fija
UI_OPTION_OTHER_DAMAGES,Display all damage,Mostrar todo el daño
UI_OPTION_HIDE_OTHER_PLAYERS,Hide other Players,Ocultar otros Jugadores
UI_OPTION_TRANSPARENT_CHAT,Transparent chat,Chat transparente
UI_OPTION_RIGHT_CLICK_MENU,Right Click Player Menu,Clic derecho en el menú de jugador
UI_OPTION_TOP_PLAYER_GAUGES,MP & FP Gauges,Indicadores de MP & FP
UI_OPTION_TOP_PLAYER_GAUGES_TIP,Enables FP & MP gauges above the player.,Habilita los indicadores de MP & FP encima del jugador.
UI_OPTION_SELECT_PETS,Select Pets,Seleccionar Mascotas
UI_FACE_SHOP_TITLE,Plastic Surgery,Cirugía Plástica
UI_FACE_SHOP_BASE_FACE,Friendly Face,Cara Amistosa
UI_FACE_SHOP_NEW_FACE,New Face,Nueva Cara
UI_TOOLTIP_SPELL_RANGE,Spell Range: %d,Rango de Hechizo: %d
UI_TOOLTIP_COMBO_TYPE,Combo: %s,Combo: %s
UI_TOOLTIP_COMBO_STEP,Step,Paso
UI_TOOLTIP_COMBO_CIRCLE,Circle,Círculo
UI_TOOLTIP_COMBO_FINISH,Finish,Finalizar
UI_TOOLTIP_BASE_DAMAGE,Base Damage: %d ~ %d,Daño Base: %d ~ %d
UI_TOOLTIP_SCALE_ATTACK,Attack Scaling,Escalado de Ataque
UI_TOOLTIP_SCALE_HEAL,Heal Scaling,Escalado de Curación
UI_TOOLTIP_SCALE_TIME,Time Scaling,Escalado de Tiempo
UI_TOOLTIP_SCALE_CHARGE,Dec. Charging Time Scaling,Dec. Charging Time Scaling
UI_TOOLTIP_SCALE_PARAM,Scaling,Escalado
UI_TOOLTIP_SCALE_PARAM_PER,per,por
UI_TOOLTIP_SCALE_PARAM_MAX,max,máx
UI_TOOLTIP_PVP,PVP,PVP
UI_TOOLTIP_PVE,PVE,PVE
UI_TOOLTIP_AROUND,Around,Alrededor
UI_TOOLTIP_BASE_HEAL,Base Heal: %d,Curación Base: %d
UI_TOOLTIP_BASE_HEAL_MP,Base MP Heal: %d,Base MP Heal: %d
UI_TOOLTIP_BASE_HEAL_FP,Base FP Heal: %d,Base FP Heal: %d
UI_TOOLTIP_BASE_TIME,Base Time: %.2d:%.2d.%.3d,Base Time: %.2d:%.2d.%.3d
UI_TOOLTIP_BASE_TIME_PVP,/ %.2d:%.2d (PVP & Giants),/ %.2d:%.2d (PVP y Gigantes)
UI_TOOLTIP_PROBABILITY,Probability: %d%%,Probabilidad: %d%%
UI_TOOLTIP_PROBABILITY_PVP,/ %d%% (PVP & Giants),/ %d%% (PVP y Gigantes)
UI_TOOLTIP_PROBABILITY_FLYBACK,Knockdown Probability: %d%%,Knockdown Probability: %d%%
UI_TOOLTIP_COOLDOWN,Cooldown: %.2d:%.2d,Tiempo de espera: %.2d:%.2d
UI_TOOLTIP_COOLDOWN_PVP,/ %.2d:%.2d (PVP),/ %.2d:%.2d (PVP)
UI_TOOLTIP_COOLDOWN_ONLY_PVP,Cooldown: %.2d:%.2d (PVP),Recarga: %.2d:%.2d (PVP)
UI_TOOLTIP_COOLDOWN_ONEND,(After Expiry),(After Expiry)
UI_TOOLTIP_CASTING,Casting Time: %.2d:%.2d,Tiempo de Lanzamiento: %.2d:%.2d
UI_TOOLTIP_CHARGING,Charging Time: %.2d:%.2d,Charging Time: %.2d:%.2d
UI_NEWCHAR_FACE,Face,Cara
UI_NEWCHAR_HAIR,Hair,Pelo
UI_NEWCHAR_HAIR_COLOR,Hair Color,Color de Pelo
UI_WORLD_ZOOM_LEVEL,%dX Zoom. Press the Scroll Lock Key to toggle.,%dX Zoom. Pulsa la Tecla Bloq Despl para alternar.
UI_KEYBIND_CHAR_CONTROL,Movement Keys,Teclas de Movimiento
UI_KEYBIND_MOVE_FORWARD,Move Forward,Hacia Delante
UI_KEYBIND_MOVE_BACKWARD,Move Backward,Hacia atrás
UI_KEYBIND_TURN_LEFT,Turn Left,A la Izquierda
UI_KEYBIND_TURN_RIGHT,Turn Right,A la Derecha
UI_KEYBIND_JUMP,Jump,Saltar
UI_KEYBIND_WALK,Toggle Run/Walk,Alternar Correr/Caminar
UI_KEYBIND_SKILL_COMBO,Action Slot,Barra de Combo
UI_KEYBIND_CLEAR_TARGET,Clear Target,Quitar Objetivo
UI_KEYBIND_TRACE_TARGET,Follow Target,Seguir al Objetivo
UI_KEYBIND_SELECT_TARGET,Select PVP Target,Selecciona al Objetivo PVP
UI_KEYBIND_APPLETS,Windows,Ventanas
UI_KEYBIND_CAMERA,Camera Control,Control de Cámara
UI_KEYBIND_CAMERA_LEFT,Rotate Left,Rotar a la Izquierda
UI_KEYBIND_CAMERA_RIGHT,Rotate Right,Rotar a la Derecha
UI_KEYBIND_CAMERA_UP,Rotate Up,Rotar hacia Arriba
UI_KEYBIND_CAMERA_DOWN,Rotate Down,Rotar hacia Abajo
UI_KEYBIND_ZOOM_IN,Zoom In,Acercar Zoom
UI_KEYBIND_ZOOM_OUT,Zoom Out,Alejar Zoom
UI_KEYBIND_ZOOM_LEVEL,Toggle Zoom,Alternar Zoom
UI_KEYBIND_TASKBAR,Taskbar Functions,Funciones de la Barra de Tareas
UI_KEYBIND_TASKBAR_N,Taskbar %d,Barra de Tareas %d
UI_KEYBIND_TASKBAR_SLOT,Taskbar Slot %d,Barra de Acceso Rápido %d
UI_KEYBIND_TASKBAR2_SLOT,2nd Bar Slot %d,2a Barra de Acceso Rápido %d
UI_KEYBIND_TASKBAR3_SLOT,3rd Bar Slot %d,3a Barra de Acceso Rápido %d
UI_KEYBIND_TASKBAR2,Additional Taskbars,Barras Adicionales
UI_KEYBIND_FULLSCREEN,Toggle Fullscreen,Alternar Pantalla Completa
UI_KEYBIND_MAIN_MENU,Main Menu,Menú Principal
UI_KEYBIND_TOGGLE_UI,Hide/Show UI,Ocultar/Mostrar UI
UI_KEYBIND_TOGGLE_SCREENSHOT,Screenshot Mode,Modo Foto
UI_KEYBIND_GAME,Game Functions,Funciones de Juego
UI_KEYBIND_NONE,Not Bound,No Atado
UI_KEYBIND_UNBIND,Unbind the key,Desatar la llave
UI_KEYBIND_TITLE,Keys,Controles
UI_KEYBIND_RESET,Reset,Botón
UI_UPGRADECARD_TITLE,Socket Card Upgrade,Mejorar Carta de Encaje
UI_UPGRADECARD_REGISTER,Register material card.,Registrar material de carta.
UI_UPGRADECARD_INFO,Fuse 10 material cards to receive 1 higher-grade card.,Fusiona 10 materiales de carta para recibir 1 carta de grado superior.
UI_RESHUFFLECARD_TITLE,Weapon Socket Card Reshuffle,Reorganización Cartas de Arma
UI_RESHUFFLECARD_REGISTER,Register weapon material card.,Registrar tarjeta de material de arma.
UI_RESHUFFLECARD_INFO,Fuse 3 weapon material cards to receive 1 same grade card.,Fusiona 3 cartas de material de armas para recibir 1 carta del mismo grado.
UI_RESHUFFLECARD_CONFIRM,"If you reshuffle the cards, the cards used as materials disappear.\nDo you want to continue?","Si vuelves a barajar las cartas, las cartas utilizadas como materiales desaparecen.\n¿Quieres continuar?"
UI_CONVERTSOULLINK_TITLE,Convert soul link,Convertir enlace de alma
UI_CONVERTSOULLINK_INFO,You can convert the item a soul-linked type.,Puedes convertir el artículo en uno vinculado.
UI_CONVERTSOULLINK_CONFIRM,The converted item cannot be returned.\nDo you want to continue?,El artículo convertido no se puede devolver.\n¿Quieres continuar?
UI_CONVERTSOULLINK_NOTAVAILABLE,This item cannot be converted.,Este artículo no se puede convertir.
