Key,English,Thai
CLIENT_HELP_INC_000126,What is the Action Slot,Action Slot คืออะไร?
CLIENT_HELP_INC_000127,The Action Slot allows you to trigger a pre-determined set of skills. You can place skills in the Action Slot from the Skills Menu.,สล็อตแอ็คชันช่วยให้คุณสามารถเรียกใช้ชุดทักษะที่กำหนดไว้ล่วงหน้าได้ คุณสามารถวางทักษะในช่อง Action จากเมนู Skills
CLIENT_HELP_INC_000128,Using the Action Slot,การใช้ Action Slot
CLIENT_HELP_INC_000129,"To actually use the Action Slot you will need to select a target and press ""C"". This can be done repeatedly.","ในการใช้ช่อง Action Slot จริงคุณจะต้องเลือกเป้าหมายและกด ""C"" ซึ่งสามารถทำได้ซ้ำ ๆ"
CLIENT_HELP_INC_000130,Order of the Action Slot,ลำดับของ Action Slot
CLIENT_HELP_INC_000131,Skills can be used in a succession as long as you follow the order of the different types of skills. The order is; Step > Circle > Finish. You can only use the action icons if the skills are in order.,ทักษะสามารถใช้งานได้ต่อเนื่องตราบเท่าที่คุณทำตามคำสั่งของทักษะประเภทต่างๆ ตามลำดับดังนี้ Step > Circle > Finish คุณสามารถใช้ไอคอนการกระทำได้เฉพาะเมื่อมีทักษะเท่านั้น
CLIENT_HELP_INC_000132,Action Slot Cooldown,คูลดาวน์ของ Action Slot
CLIENT_HELP_INC_000133,There is a Cooldown for the Action Slot. As you cast you will notice a shadow the will begin covering the Action Slot. You will not be able to uses Skills that are covered in shadow. Simply wait and the shadow will vanish.,มี Cooldown สำหรับสล็อตแอ็กชัน เมื่อกดใช้งาน คุณจะไม่สามารถกดใช้งานได้เมื่อ Cooldown ยังไม่หมด สังเกตุได้ ที่ Skill จะมีเงาครอบคลุมไว้ เพียงรอให้เงาหายไป หรือ Skill สว่างขึ้นก็จะใช้งานได้อีกครั้ง
CLIENT_HELP_INC_000134,Community,Community
CLIENT_HELP_INC_000135,In order to make Flyff more social and entertaining we encourage users to band together. There is both an intricate Party System and a Guild System.,เพื่อให้ Flyff มีความเป็นสังคมและความบันเทิงมากขึ้นเราจึงสนับสนุนให้ผู้ใช้รวมกลุ่มกัน มีทั้ง Party และ Guild
CLIENT_HELP_INC_000136,Basic Party System,ระบบปาร์ตี้พื้นฐาน
CLIENT_HELP_INC_000137,"Parties are used to help benefit users who band together for a short time. There are numerous benefits to joining a Party as opposed to playing alone. The Party Menu can be accessed by pressing ""P"".","อธิบายเกี่ยวกับปาร์ตี้ ฝ่ายต่างๆใช้เพื่อช่วยผู้เล่นที่มารวมกลุ่มกันเป็นเวลาสั้นๆ มีประโยชน์มากมายในการเข้าร่วมปาร์ตี้ คุณสามารถเข้าถึงเมนูปาร์ตี้ได้โดยกด ""P"""
CLIENT_HELP_INC_000138,Party Requirements,สร้างปาร์ตี้
CLIENT_HELP_INC_000139,"To make a party, at least 2 people are needed. There are no job or level requirements to create normal party.",ในการสร้างปาร์ตี้ จำเป็นต้องมีอย่างน้อย 2 คน ไม่มีข้อกำหนดเรื่อง Job หรือเลเวลในการสร้างปาร์ตี้ปกติ
CLIENT_HELP_INC_000140,Inviting members to a Party,เชิญสมาชิกเข้า Party
CLIENT_HELP_INC_000141,"To invite a player, either hold the ALT key and left click on the player or simply right click on the user. After accessing the Player Menu, simply select ""Invite to join party"".","ในการเชิญผู้เล่นให้กดปุ่ม Alt ค้างไว้และคลิกซ้ายที่ตัวละครผู้เล่นที่เราต้องการเชิญเข้าปาร์ตี้ หรือคลิกขวา หลังจาก มี Menu หน้าต่างขึ้นมา เลือก ""เชิญเข้าร่วมปาร์ตี้"""
CLIENT_HELP_INC_000142,Joining a Party,ชวนเข้า Party
CLIENT_HELP_INC_000143,Select ACCEPT when you are invited to join a party.,เลือกรับเมื่อได้รับเชิญให้เข้าร่วมปาร์ตี้ที่เด้งขึ้นมา
CLIENT_HELP_INC_000144,Leave a Party,ออกจาก Party
CLIENT_HELP_INC_000145,"To leave a Party, open the Party Menu and click on the LEAVE button. A Party will be disbanded automatically if everyone leaves the Party.",เมื่อต้องการออกจากปาร์ตี้ให้เปิดเมนูปาร์ตี้และคลิกที่ปุ่มยกเลิก (LEAVE) ปาร์ตี้จะถูกยกเลิกโดยอัตโนมัติหากทุกคนออกจากปาร์ตี้
CLIENT_HELP_INC_000146,Removing a Party member,นำสมาชิก Party ออก
CLIENT_HELP_INC_000147,"Only the Leader of the Party can remove a Party member. To do this you need to access the Party Menu, select the targeted Party member, and then finally press the Leave Button.",เฉพาะหัวหน้าปาร์ตี้เท่านั้นที่สามารถถอดสมาชิกปาร์ตี้ได้ ในการดำเนินการนี้คุณต
CLIENT_HELP_INC_000148,Changing Party Leader,เปลี่ยนหัวหน้า Party
CLIENT_HELP_INC_000149,"To transfer leadership in a Basic Party the Leader must choose a Party member and click the Transfer button. In case the Leader leaves the party, then the Party member placed next to Leader becomes the Party Leader.",ในการโอนความเป็นผู้นำในปาร์ตี้ขั้นพื้นฐานหัวหน้าต้องเลือกสมาชิกปาร์ตี้และคลิกปุ่มโอน ในกรณีที่หัวหน้าออกจากปาร์ตี้แล้วสมาชิกปาร์ตี้ที่ว่างอยู่จะกลายเป็นหัวหน้าปาร์ตี้
CLIENT_HELP_INC_000150,Become an Advanced Party,เปลี่ยนเป็น Party ระดับสูง
CLIENT_HELP_INC_000151,When a basic Party’s level reaches 10 it is able to change to an Advanced Party. Simply select the Change button on the Party Menu. Once your Party changes to an Advanced Party you will be able to name your Party. Once you have an Advanced Party you can begin to take advantage of the Skills Tab inside the Party Menu.,เมื่อระดับพื้นฐานของปาร์ตี้ถึงเลเวล 10 สามารถเปลี่ยนไปเป็นปาร์ตี้ขั้นสูงได้ เพียงเลือกปุ่มเปลี่ยนในเมนูปาร์ตี้ เมื่อปาร์ตี้ของคุณเปลี่ยนไปเป็นปาร์ตี้ขั้นสูงคุณจะสามารถตั้งชื่อปาร์ตี้ของคุณได้ เมื่อคุณมีปาร์ตี้ระดับสูงคุณสามารถเริ่มใช้ประโยชน์จากแท็บทักษะภายในเมนูปาร์ตี้ได้
CLIENT_HELP_INC_000152,Advanced Party System,ระบบ Party ขั้นสูง
CLIENT_HELP_INC_000153,Advanced Parties evolve from Basic Parties. They are very beneficial for groups attempting to conquer the most difficult tasks!,กลุ่มปาร์ตี้ระดับสูง ปรับมาจากกลุ่ม ปาร์ตี้พื้นฐาน ปาร์ตี้ระดับสูงมีประโยชน์มากสำหรับการพยายามเอาชนะเควสที่มีความยากที่สุด!
CLIENT_HELP_INC_000154,Become an Advanced Party,เปลี่ยนเป็น Party ระดับสูง
CLIENT_HELP_INC_000155,When a basic Party’s level reaches 10 it is able to change to an Advanced Party. Simply select the Change button on the Party Menu. Once your Party changes to an Advanced Party you will be able to name your Party. Once you have an Advanced Party you can begin to take advantage of the Skills Tab inside the Party Menu.,เมื่อระดับพื้นฐานของปาร์ตี้ถึงเลเวล 10 สามารถเปลี่ยนไปเป็นปาร์ตี้ขั้นสูงได้ เพียงเลือกปุ่มเปลี่ยนในเมนูปาร์ตี้ เมื่อปาร์ตี้ของคุณเปลี่ยนไปเป็นปาร์ตี้ขั้นสูงคุณจะสามารถตั้งชื่อปาร์ตี้ของคุณได้ เมื่อคุณมีปาร์ตี้ระดับสูงคุณสามารถเริ่มใช้ประโยชน์จากแท็บทักษะภายในเมนูปาร์ตี้ได้
CLIENT_HELP_INC_000156,Inviting members to a Party,เชิญสมาชิกเข้า Party
CLIENT_HELP_INC_000157,"To invite a player, either hold the ALT key and left click on the player or simply right click on the user. After accessing the Player Menu, simply select ""Invite to join party"".","ในการเชิญผู้เล่นให้กดปุ่ม Alt ค้างไว้และคลิกซ้ายที่ตัวละครผู้เล่นที่เราต้องการเชิญเข้าปาร์ตี้ หรือคลิกขวา หลังจาก มี Menu หน้าต่างขึ้นมา เลือก ""เชิญเข้าร่วมปาร์ตี้"""
CLIENT_HELP_INC_000158,Joining an advanced party.,ชวนเข้า Party ขั้นสูง
CLIENT_HELP_INC_000159,Select ACCEPT when you are invited to join a party.,เลือกรับเมื่อได้รับเชิญให้เข้าร่วมปาร์ตี้ที่เด้งขึ้นมา
CLIENT_HELP_INC_000160,Party Exp and Skills,ค่าประสบการณ์และ Skills ปาร์ตี้
CLIENT_HELP_INC_000161,The Advanced Party will get stronger as your Party earns Exp which in turn gives the Party Points. These Party Points are then consumed to use Party Skills. The Party Skills and Points are different according to the level of the Party. Only the Party Leader can use the Party Skills.,ปาร์ตี้ขั้นสูงจะแข็งแกร่งขึ้นเมื่อปาร์ตี้ของคุณได้รับ Exp ซึ่งจะให้คะแนนปาร์ตี้ จากนั้นคะแนนปาร์ตี้เหล่านี้จะถูกใช้เพื่อใช้ทักษะปาร์ตี้ ทักษะและคะแนนของปาร์ตี้จะแตกต่างกันไปตามระดับของปาร์ตี้ เฉพาะหัวหน้าปาร์ตี้เท่านั้นที่สามารถใช้ทักษะปาร์ตี้ได้
CLIENT_HELP_INC_000162,Leave a Party,ออกจาก Party
CLIENT_HELP_INC_000163,"To leave a Party, open the Party Menu and click on the LEAVE button. A Party will be disbanded automatically if everyone leaves the Party.",เมื่อต้องการออกจากปาร์ตี้ให้เปิดเมนูปาร์ตี้และคลิกที่ปุ่มยกเลิก (LEAVE) ปาร์ตี้จะถูกยกเลิกโดยอัตโนมัติหากทุกคนออกจากปาร์ตี้
CLIENT_HELP_INC_000164,Removing a Party member,นำสมาชิก Party ออก
CLIENT_HELP_INC_000165,"Only the Leader of the Party can remove a Party member. To do this you need to access the Party Menu, select the targeted Party member, and then finally press the Leave Button.",เฉพาะหัวหน้าปาร์ตี้เท่านั้นที่สามารถถอดสมาชิกปาร์ตี้ได้ ในการดำเนินการนี้คุณต
CLIENT_HELP_INC_000166,Changing Party Leader,เปลี่ยนหัวหน้า Party
CLIENT_HELP_INC_000167,"To transfer leadership in an Advanced Party the Leader must choose a Party member and click the Transfer button. In case the Leader leaves the party, then the Party member placed next to Leader becomes the Party Leader.",ในการถ่ายโอนความเป็นผู้นำในปาร์ตี้ขั้นสูง ผู้นำต้องเลือกสมาชิกปาร์ตี้และคลิกปุ่มโอน ในกรณีที่หัวหน้าออกจากปาร์ตี้ สมาชิกปาร์ตี้ที่อยู่ถัดจากหัวหน้าจะกลายเป็นหัวหน้าปาร์ตี้
CLIENT_HELP_INC_000168,,
CLIENT_HELP_INC_000169,,
CLIENT_HELP_INC_000170,Advanced Party Skills,สกิล Party ขั้นสูง
CLIENT_HELP_INC_000171,Only the Advanced Party Leader can use the Advanced Party Skills. The Advanced Party Skills will be acquired as you reach a certain Party Level. Party Points are consumed to use Skills.,เฉพาะผู้นำปาร์ตี้ขั้นสูงเท่านั้นที่สามารถใช้ทักษะปาร์ตี้ขั้นสูงได้ ทักษะของปาร์ตี้ขั้นสูงจะได้รับเมื่อคุณมาถึงระดับปาร์ตี้ Party Points ถูกใช้เพื่อใช้ทักษะ
CLIENT_HELP_INC_000172,Call,เรียก
CLIENT_HELP_INC_000173,Informs all Party members of the location of the Party Leader. It does not consume any Party Points.,แจ้งให้สมาชิกพรรคทั้งหมดทราบตำแหน่งของหัวหน้าพรรค ไม่ใช้คะแนนทักษะของปาร์ตี้
CLIENT_HELP_INC_000174,Blitz,Blitz
CLIENT_HELP_INC_000175,Party Leader orders Party members to attack a target. It does not consume any Party Points.,หัวหน้าปาร์ตี้สั่งให้สมาชิกปาร์ตี้โจมตีเป้าหมาย ไม่ใช้คะแนนปาร์ตี้ใดๆ
CLIENT_HELP_INC_000176,Retreat,ถอย
CLIENT_HELP_INC_000177,Party Leader orders all Party members to retreat. It does not consume any Party Points.,หัวหน้าปาร์ตี้สั่งให้สมาชิกปาร์ตี้ทั้งหมดถอย ไม่ใช้คะแนนปาร์ตี้ใดๆ
CLIENT_HELP_INC_000179,,
CLIENT_HELP_INC_000180,Precision,Precision
CLIENT_HELP_INC_000181,"Use this ability to gain an almost guaranteed critical hit on your next attack. Available at party level 17, consumes 1 Party Point.",ใช้ความสามารถนี้เพื่อให้ได้ Hit ที่สำคัญเกือบจะได้รับการรับรองในการโจมตีครั้งต่อไปของตัวละคร สามารถใช้งานได้ที่ปาร์ตี้เลเวล 17 ใช้ Party Skill Point 1 แต้ม
CLIENT_HELP_INC_000182,Linked Attack,Linked Attack
CLIENT_HELP_INC_000183,"While the Party Leader is attacking a target, damage increase for all Party members attacking the same target. Available at party level 20, consumes 3 Party Points.",ขณะที่หัวหน้าปาร์ตี้โจมตีเป้าหมาย จะเพิ่มความเสียหายให้กับสมาชิกปาร์ตี้ทั้งหมดที่โจมตีเป้าหมายเดียวกัน สามารถใช้งานได้ที่ปาร์ตี้เลเวล 20 ใช้ Party Skill Point 3 แต้ม
CLIENT_HELP_INC_000184,Lucky Drop,Lucky Drop
CLIENT_HELP_INC_000185,"Increases the chance of Masquerpets dropping unique items. Available at party level 25, consumes 5 Party Points.",เพิ่มโอกาสในการได้รับMasquerpets unique items ดรอปเพิ่มขึ้น สามารถใช้งานได้ที่ปาร์ตี้ที่เลเวล 25 ใช้ Party Skill Point ิ5 แต้ม
CLIENT_HELP_INC_000186,Resting,Resting
CLIENT_HELP_INC_000187,"Party members recover 1.5 times faster. It the Party Leader is an Assist, Party members recover 1.8 times faster. Available at party level 30, consumes 2 Party Points.",สมาชิกปาร์ตี้ฟื้นฟูได้เร็วกว่า 1.5 เท่า หัวหน้าปาร์ตี้ฟื้นตัวเร็วขึ้น 1.8 เท่า สามารถใช้งานได้ที่ปาร์ตี้ที่เลเวล 30 ใช้คะแนน Skill Point 2 แต้ม
CLIENT_HELP_INC_000188,Gift Box,Gift Box
CLIENT_HELP_INC_000189,"Increases the amount of items dropped by Masquerpets. Available at party level 40, consumes 8 Party Points.",เพิ่มจำนวนไอเทมที่ดรอปจาก Masquerpets ใช้ได้ที่ปาร์ตี้ระดับ 40 ใช้คะแนนทักษะปาร์ตี้ 8 คะแนน
CLIENT_HELP_INC_000190,Jobs and their Skills,อาชีพและทักษะ
CLIENT_HELP_INC_000191,This section details the various Jobs in Flyff and all of their corresponding skills. The Skill Menu can be pulled up by pressing the K Key.,ส่วนนี้จะอธิบายรายละเอียดต่างๆ ของอาชีพใน Flyff และทักษะที่เกี่ยวข้องทั้งหมดของพวกเขา เมนูทักษะสามารถเลื่อนขั้นขึ้นได้โดยกดปุ่ม K
CLIENT_HELP_INC_000192,Players will receive Skill Points as they Level up their characters.,ผู้เล่นจะได้รับ Skill Points ตามเลเวลของตัวละคร
CLIENT_HELP_INC_000193,These Skill Points can then be assigned to various skills to increase the strength of that particular Skill.,คะแนนทักษะเหล่านี้สามารถกำหนดให้กับสกิลต่างๆ เพื่อเพิ่มความแข็งแกร่งของสกิลนั้นๆ
CLIENT_HELP_INC_000194,PH1,Vagabond
CLIENT_HELP_INC_000195,Vagrants are the basic class everyone in Flyff starts with before they decide on their First Job Change. They use physical attacks and use melee weapons like swords and axes.,Vagrants เป็นคลาสพื้นฐานที่ทุกคนใน Flyff จะได้เริ่มต้นก่อนตัดสินใจเปลี่ยนอาชีพครั้งแรก พวกเขาใช้การโจมตีทางกายภาพและใช้อาวุธระยะประชิด เช่น ดาบและขวาน
CLIENT_HELP_INC_000196,Clean Hit,Clean Hit
CLIENT_HELP_INC_000197,"A powerful, downward strike. This skill is available at Level 3 and can be used with any Melee Weapon.",โจมตีในครั้งเดียวที่มีประสิทธิภาพ สกิลนี้สามารถใช้ได้ในเลเวล 3 และสามารถใช้ได้กับอาวุธระยะประชิด
CLIENT_HELP_INC_000198,Flurry,Flurry
CLIENT_HELP_INC_000199,A rapid stabbing attack that follows a Clean Hit in the Action Slot. This skill is available at Level 5 to Players who have at least 3 Skill Points in Clean Hit and can be used with any Melee Weapon.,การโจมตีด้วยการแทงอย่างรวดเร็วซึ่งเป็นไปตามการกระทำที่มีประสิทธิภาพในแอ็กชัน สกิลนี้สามารถใช้ได้ในเลเวล 5 สำหรับตัวละครที่มีทักษะ Clean Hit อย่างน้อยเลเวล 3 และสามารถใช้ร่วมกับอาวุธระยะประชิดได้
CLIENT_HELP_INC_000200,Over Cutter,Over Cutter
CLIENT_HELP_INC_000201,This attack gathers all of the power the vagrant has and unleashes it in a strong upwards finishing blow. Over Cutter completes the combo after Flurry in the Action Slot. This skill is available at Level 10 to Players who have at least 3 Skill Points in Flurry and can be used with any Melee Weapon.,การโจมตีครั้งนี้รวบรวมพลังทั้งหมดที่มีและปล่อยมันนระดับที่แรงขึ้น Over Cut จะเสร็จสิ้นคำสั่งผสมหลังจาก Flurry ในช่อง Action สกิลนี้สามารถใช้ได้ที่เลเวล 10 สำหรับตัวละครที่มี Flurry อย่างน้อยเลเวล 3 และสามารถใช้ร่วมกับอาวุธระยะประชิดได้
CLIENT_HELP_INC_000202,Mercenary,Mercenary
CLIENT_HELP_INC_000203,"Mercenaries prefer to partake in close range combat. The main characteristics of this particular class involve physical strength, and a strong body that is able to withstand attacks.",Mercenary ชอบที่จะมีส่วนร่วมในการสู้รบในระยะประชิด ลักษณะสำคัญของอาชีพนี้เกี่ยวข้องกับความแข็งแรงทางกายภาพและร่างกายที่แข็งแกร่งที่สามารถทนต่อการโจมตีได้
CLIENT_HELP_INC_000204,"Powerful and headstrong, the mercenary has both inner and physical strength. Mercenaries will become either a Blade or a Knight.",Mercenary มีความมุ่งมั่น อีกทั้งความแข็งแกร่งและกล้าหาญ แข็งแกร่งทั้งร่างกายและจิตใจ Mercenary จะสามารถเป็นได้ทั้ง Blade หรือ Knight
CLIENT_HELP_INC_000205,PH2,Splmash
CLIENT_HELP_INC_000206,"Strikes the enemy two times, in rapid succession. This skill is available at Level 15 and can be used with any Axe or Sword.",โจมตีศัตรูสองครั้งอย่างต่อเนื่อง สกิลนี้สามารถใช้ได้ที่เลเวล 15 และสามารถใช้ได้กับ Axe หรือ Sword
CLIENT_HELP_INC_000207,PH3,Keenwheel
CLIENT_HELP_INC_000208,A continuous spinning attack. This skill is available at Level 18 to Players who have at least 4 Skill Points in Slash and can be used with any Axe or Sword.,การโจมตีแบบหมุนอย่างต่อเนื่อง สกิลนี้สามารถใช้ได้ที่เลเวล 18 สำหรับตัวละครที่มี สกิล Slash อย่างน้อยเลเวล 4 และสามารถใช้ได้กับ Axe หรือ Sword
CLIENT_HELP_INC_000209,PH4,Blindside
CLIENT_HELP_INC_000210,"A spinning, finishing move. This skill is available at Level 24 to Players who have at least 6 Skill Points in Keenwheel and can be used with any Axe or Sword.",การหมุนเสร็จสิ้น สกิลนี้สามารถใช้ได้ที่เลเวล 24 สำหรับตัวละครที่มีสกิล Keenwheel อย่างน้อยเลเวล 6 และสามารถใช้ร่วมกับ Axe หรือ Sword ได้
CLIENT_HELP_INC_000211,Special Hit,Special Hit
CLIENT_HELP_INC_000212,A single powerful strike. This skill is available at Level 30 to Players who have at least 8 Skill Points in Blindside and can be used with any Axe or Sword.,ถอยหลังไปหนึ่งก้าวแล้วพุ่งเข้าฟันมอนสเตอร์อย่างรวดเร็ว สกิลนี้สามารถใช้ได้ที่เลเวล 30 สำหรับตัวละครที่มีสกิล Blindside อย่างน้อยเลเวล 8 และสามารถใช้กับ Axe หรือ Sword ได้
CLIENT_HELP_INC_000213,PH5,Bloody Strike
CLIENT_HELP_INC_000214,Drains life from an enemy. This skill is available at Level 20 to Players who have at least 3 Skill Points in Slash and can be used with any Axe or Sword.,ทุกครั้งที่โจมตีใส่ศัตรู จะดูดพลังชีวิตของศัตรูมาเป็นของตนเอง สกิลนี้สามารถใช้ได้เมื่อเลเวล 20 สำหรับตัวละครที่มี สกิล Slash อย่างน้อยเลเวล 3 และสามารถใช้ได้กับ Axe หรือ Sword ทุกประเภท
CLIENT_HELP_INC_000215,Reflex Hit,Reflex Hit
CLIENT_HELP_INC_000216,This Skill absorbs one attack and releases it back at an enemy. This skill is available at Level 25 to Players who have at least 8 Skill Points in Bloody Strike and can be used with any Axe or Sword.,สกิลนี้ดูดซับการโจมตีเพียงครั้งเดียวและปล่อยมันกลับมาที่ศัตรู สกิลนี้สามารถใช้ได้ที่เลเวล 25 สำหรับตัวละคร ที่มีสกิล Bloody Strike อย่างน้อยเลเวล 8 และสามารถใช้กับอาวุธประเภท Axe หรือ Sword 
CLIENT_HELP_INC_000217,Guillotine,Guillotine
CLIENT_HELP_INC_000218,This attack begins from a short distance and then launches the player at the enemy in a fiery burst. This skill is available at Level 30 to Players who have at least 10 Skill Points in Reflex Hit and can be used with any Axe or Sword.,รวบรวมกำลังทั้งหมดที่มี เพื่อฟาดกำลังทำลายศัตรูออกไปอย่างรุนแรงด้วยการลุกเป็นไฟ สกิลนี้สามารถใช้ได้ที่เลเวล 30 สำหรับตัวละครที่มี สกิล Hit Reflect อย่างน้อยเลเวล 10 และสามารถใช้ได้กับอาวุธประเภท Axe หรือ Sword
CLIENT_HELP_INC_000219,Protection,Protection
CLIENT_HELP_INC_000220,Increases the defense of a Shield against melee attacks. This skill is available at Level 15 and requires a shield.,เพิ่มพลังป้องกันของ Shield จากการโจมตีระยะประชิด ทักษะนี้สามารถใช้ได้ที่ Level 15 และต้องใช้โล่
CLIENT_HELP_INC_000221,Pan Barrier,Pan Barrier
CLIENT_HELP_INC_000222,Increases the defense of a Shield against ranged attacks. This skill is available at Level 18 to Players who have at least 3 Skill Points in Protection and requires a shield.,เพิ่มพลังป้องกันจากการโจมตีระยะไกล สกิลนี้สามารถใช้ได้ที่เลเวล 18 สำหรับตัวละครที่มีสกิล Protection อย่างน้อยเลเวล 3 และต้องใช้โล่
CLIENT_HELP_INC_000223,Sneaker,Sneaker
CLIENT_HELP_INC_000224,Holds an enemy in place with a net. This skill is available at Level 20 to Players who have at least 10 Skill Points in Pan Barrier and can be used with any Axe or Sword.,ใช้ตาข่ายจับศัตรูไม่ให้เคลื่อนไหว สกิลนี้สามารถใช้ได้ในเลเวล 20 สำหรับตัวละครที่มีสกิล Pan Barrier อย่างน้อยเลเวล 10 และสามารถใช้กับ Axe หรือ Sword ได้
CLIENT_HELP_INC_000225,Empower Weapon,Empower Weapon
CLIENT_HELP_INC_000226,This Skill strengthens the elemental damage of a weapon. It is not applied if there is no elemental attack power on the weapon. This skill is available at Level 20 to Players who have at least 5 Skill Points in Protection and can be used with any Axe or Sword.,เพิ่มพลังโจมตีความเสียหายที่เป็นธาตุของอาวุธ จะใช้ไม่ได้หากอาวุธไม่มีธาตุ สกิลนี้มีให้ในเลเวล 20 สำหรับตัวละครที่มีสกิล Protection อย่างน้อยเลเวล 5 และสามารถใช้กับ Axe หรือ Sword ได้
CLIENT_HELP_INC_000227,Smite Axe,Smite Axe
CLIENT_HELP_INC_000228,Increases the attack level of an Axe and gives additional defense. This skill is available at Level 25 to Players who have at least 4 Skill Points in Empower Weapon and can be used with any Axe.,เพิ่มพลังโจมตีของอาวุธประเภทขวาน และเพิ่มพลังป้องกัน สกิลนี้สามารถใช้ได้ในเลเวล 25 สำหรับตัวละครที่มีสกิล Empower Weapon อย่างน้อยเลเวล 4 และสามารถใช้กับ Axe ได้
CLIENT_HELP_INC_000229,Axe Mastery,Axe Mastery
CLIENT_HELP_INC_000230,Increases the attack level of an Axe. This skill is available at Level 30 to Players who have at least 9 Skill Points in Smite Axe and can be used with any Axe.,เพิ่มความคล่องแคล่วและพลังโจมตีเมื่อใช้อาวุธประเภทขวานต่อสู้ สกิลนี้สามารถใช้ได้ที่เลเวล 30 สำหรับตัวละครที่มีสกิล Smite Axe อย่างน้อยเลเวล 9 และสามารถใช้กับ Axe ได้
CLIENT_HELP_INC_000231,Blazing Sword,Blazing Sword
CLIENT_HELP_INC_000232,Increases the attack level and accuracy of a Sword. This skill is available at Level 25 to Players who have at least 4 Skill Points in Empower Weapon and can be used with any Sword.,เพิ่มพลังโจมตีและความแม่นยำของอาวุธประเภทดาบ สกิลนี้สามารถใช้ได้ที่เลเวล 25 สำหรับตัวละครที่มีสกิล Empower Weapon อย่างน้อยเลเวล 4 และสามารถใช้กับดาบได้
CLIENT_HELP_INC_000233,Sword Mastery,Sword Mastery
CLIENT_HELP_INC_000234,Increases the attack level of a Sword. This skill is available at Level 30 to Players who have at least 9 Skill Points in Blazing Sword and can be used with any Sword.,พลังโจมตีเมื่อใช้อาวุธประเภทดาบต่อสู้ สกิลนี้สามารถใช้ได้ในเลเวล 30 สำหรับตัวละครที่มีสกิล Blazing Sword อย่างน้อยเลเวล 9 คนและสามารถใช้กับดาบได้
CLIENT_HELP_INC_000235,Acrobat,Acrobat
CLIENT_HELP_INC_000236,"Acrobats mainly wield long distance weapons such as Bows or Yo-Yos. Using tactics based on speed and accuracy, they are usually able to break anyone willing enough to fight them. Sly and witty, the acrobat is a cunning trickster.",Acrobat ใช้อาวุธระยะไกลและรวดเร็ว อย่างเช่น Bows หรือ Yo-Yos พวกเขามักจะสามารถทำลายทุกคนที่ต้องการที่จะสู้กับพวกเขาได้ Acrobat เป็นจอมเจ้าเล่ห์และมีไหวพริบ
CLIENT_HELP_INC_000237,"An Acrobat will use MP for Bow Skills and FP for Yo-Yo skills. For universal skills like Dark Illusion, Acrobats use FP. Acrobats will become either a Jester or a Ranger.","Acrobat จะใช้ MP เมื่อใช้สกิลของ Bow และ FP เมื่อใช้สกิลของ Yo-Yo สำหรับสกิลทั่วไป เช่น Dark Illusion, Acrobats ใช้ FP Acrobat จะกลายเป็น Jester หรือ Ranger"
CLIENT_HELP_INC_000238,Pulling,Pulling
CLIENT_HELP_INC_000239,Pulls a target towards the player. This skill is available at Level 15 to Players and can be used with any Yo-Yo.,ใช้สายโยโย่พันร่างเป้าหมายแล้วดึงเข้ามาหาตัวเอง สกิลนี้สามารถใช้ได้ที่เลเวล 15 และสามารถใช้ได้กับ Yo-Yo
CLIENT_HELP_INC_000240,Fast Walker,Fast Walker
CLIENT_HELP_INC_000241,Increases the walking speed of the user for a limited time. This skill is available at Level 18 to Players who have at least 3 Skill Points in Pulling and can be used with any Bow or Yo-Yo.,เพิ่มความเร็วในการเคลื่อนที่ในระยะเวลาที่จำกัด สกิลนี้สามารถใช้ได้ที่เลเวล 18 สำหรับตัวละครที่มีสกิล Pulling อย่างน้อยเลเวล 3 และสามารถใช้ร่วมกับ Bow หรือ Yo-Yo ได้
CLIENT_HELP_INC_000242,Dark Illusion,Dark Illusion
CLIENT_HELP_INC_000243,Turn a character invisible for a short time. This skill is available at Level 30 to Players who have at least 6 Skill Points in Fast Walker and can be used with any Bow or Yo-Yo.,หายตัวจากสายตาผู้อื่น ในระยะเวลาอันสั้น สกิลนี้สามารถใช้ได้ที่เลเวล 30 สำหรับตัวละครที่มีสกิล Fast Walker อย่างน้อยเลเวล 6 และสามารถใช้ร่วมกับ Bow หรือ Yo-Yo ได้
CLIENT_HELP_INC_000244,Perfect Block,Perfect Block
CLIENT_HELP_INC_000245,Block rate will be increased. This skill is available at Level 45 to Players who have at least 8 Skill Points in Dark Illusion and can be used with any Bow or Yo-Yo.,อัตราการบล็อกจะเพิ่มขึ้น สกิลนี้สามารถใช้ได้ในเลเวล 45 สำหรับตัวละครที่มีสกิล Dark Illusion อย่างน้อย 8 และสามารถใช้กับ Bow หรือ Yo-Yo ได้
CLIENT_HELP_INC_000246,Slow Step,Slow Step
CLIENT_HELP_INC_000247,You have a chance to decrease the moving speed of enemy. This skill is available at Level 15 and can be used with any Yo-Yo.,โจมตีพร้อมเล็งที่ส่วนขาเอาไว้ เมื่อโจมตีโดน จะทำให้เป้าหมายเคลื่อนที่ได้ช้าลง สกิลนี้สามารถใช้ได้ที่เลเวล 15 และสามารถใช้ได้กับ Yo-Yo ได้
CLIENT_HELP_INC_000248,Yo-Yo Mastery,Yo-Yo Mastery
